content,polarity
"@Shionny já, socaste, los últimos minutos socaaaasteee! Felicidades rey de la selva, ni modo el  Barcelona  no se vio bien.",N
"Casillas  tocando el palo, que lindo sos.",P
Que sin  Casillas  no hacéis nada!! #ViscaBarça,P
Pero que cerdos sois  CULES .  Para pitarle al  rey  y al himno iros a chuparla a vuestro país. ¡HALA  MADRID ! ?,N
@victorternera  Messi  esta mamando ron con @edgardojose13 @yuceth1 @Eduarmedi porque en el  partido  no estuvo,N
Hay  jugadores en el Barça  que ya no dan y me duele en el alma admitirlo porque nos han dado alegrías que nunca vamos a olvidar,N
Bale  ya puedes aparcar la moto.  Isco  descomunal.  Messi  sigue desaparcido. La  Copa  se queda en España  #HalaMadrid  #Campeones,P
#FinalCopa  ¿Habrá suicidio de la  copa  por parte de  Ramos ? Jajajajajaja.,NEU
"Lo mejor del  partido  la actuación del  árbitro , y los COJONES de  @MarcBartra91 . Partidazo el suyo, lo único bueno del  Barcelona .",NEU
Enhorabuena a  los jugadores del Barça q han calentado  ya q han sido los únicos q han corrido.,P
"Tranquilo  Messi , el mundial es tuyo. ?",P
No le déis la copa a  Sergio Ramos  xd,N
@GermanMunguia1 @MexiHL7 ¿Donde quedó  Messi  y su equipucho? Jiji.,N
Comprobado 11 vs 11 y a palmar a la Cibeles nos vamos a la Cibeles ?Campeones? Campeones?oeoeoe? Campeones? Campeones ?oeoeoe?Hala  Madrid !!!,P
Nada que reprocharle al  Barça ..! Estaba para cualquiera de los dos. Maravilloso que es el fútbol..! Felicidades al  Real .!   #CopaRelRey,NEU
"Ramos , tira la copa!!",N
"Pues yo, entre el  partido  de  Cristiano  y el de  Messi , no sé con cual quedarme.",NEU
@SergioRamos  No te cargues la copa!!,N
"Copa del rey  para el  madriiiiid  !!! Como lo sabia, y como tu querias abuelo",NEU
. @realmadrid  ha ganado todas sus 3 finales de   #CopaRelRey  vs  Barcelona  en Mestalla,NEU
"#BARÇA   por encima de todo, hoy y siempre contigo?",P
#HalaMadrid pedazo partido  mi enhorabuena a los  madrilistas    #FinalCopaRelRey   #RealMadrid,P
@RMadridDatos   casillas  no pierde 1 final con el Madrid desde hace 14 años y solo 1 gol en toda la  copa   #grandeiker,P
Jajaja joderos  catalanes  hijos de puta esto os pasa por pitar el himno ESPAÑOL   #FinalCopaRelRey,N
"Loq no entiendo es xq a  messi  lo dejaron en las gradas con  cr7  , y no lo pusieran a jugar",N
#Hala  #Madrid  esta es la marca #campeones de la #Copa del #Rey duela quien le duela http://t.co/XcjB0gbbnH,P
"@Mayyte33  Cristiano  lo es, si o si",NEU
@JPLopez_19 @srperezpolanco creo que el problemas no es  Messi  si no el sistema ya no funciona,NEU
EMPIEZAN CON SU DESBOCADERA .no se si el  madrid  merecía ganar pero definitivamente el  barça  No.es mi equipo pero no lo conocí en ese juego,NEU
"Tata  cuando vas a aprender que  Neymar  juega por izquierda, que  Pedro  debe ser titular por derecha, y que  Iniesta  no es extremo GG",N
Ser del  Barça  es un honor. ¡Visca  Barça !,P
"Yo no se que ve la gente de guapo en  bale , no he visto cosa semejante.",N
Que no le den la copa a  Sergio Ramos !!!!  #HalaMadrid    #FinalCopaRelRey,N
Ultima semana y medua del  barca : Eliminacion de  Champions  Pierde media  liga  contra el Granada Y pierde la  copa  ante el gran  Real Madrid ..,N
Habia una vez un  Barcelona  que ganaba todo...,N
No me imagino a  Bale  corriendo cuando tiene ganas de cagar...,P
"El gol de  Bale , debería valer por dos. #PedazoDeGol",P
El  barça  se va ha acordar de ese palo durante mucho tiempo  #HalaMadrid,N
Me encanta la cara de  Cesc  jajajaja,N
hahaha la reaccion de  iker  en el postaso de  neymar ... insuperable,P
Que no le den la copa a  @sergioramos  que me la deja caer  @realmadrid   #HalaMadrid  gran @CasillasWorld,N
Ahora todos pendientes de  Sergio Ramos  a ver qué hace con la copa,N
Madrid  campeones de la  copa del rey  papax!  Barca  cabron saluda al campeon :D,P
"Soy incapaz de felicitar a un  madridista , el antifutbol no merece respeto, 11 cerrados atras y a la contra, el puto sida del futbol...",NEU
Cada vez que se escribe o se dice Baltra en lugar de  Bartra  muere un pingüino en el Ártico...¡jaja!,NEU
¿Solo soy yo el que piensa que el  #RealMadrid  juega mejor sin  #CR7 ?  Copa del Rey  merecidísima.¿Que dirán hoy todos los que critican a  #Bale ?,NEU
Bale  ha estado impecable lo juro.,P
"Cristiano Ronaldo ,  Gareth Bale  y  Angel Di María  festejando el campeonato de  Copa del Rey : http://t.co/YVJUMWymUx",NEU
"""Como sufren los """"  Cules  """" ?? #halamadrid""",N
"Si el  Madrid  le puede ganar al  Barcelona  en una final, nosotros podemos vencer a este dictador.",NEU
"Ok, la copa la puede tener todo el club... Menos  Sergio Ramos  por favor.",N
Arriba mi  BARCELONA  nosotros estamos es acostumbrados es ganar no como los circos que ganan algo y se quieren morir,P
“@jesus_tuitero: Este  Messi  es un loquillo http://t.co/XAjD9TzFWU” #correcto,N
Hay q saber perder no? Enhorabuena  Madridistas,P
Campeones  #HalaMadrid  dando cátedra como siempre! !!!  @realmadrid,P
Seria genial q  ramos  tirase la copa para completar la celebracion.,NEU
@MafeSaavedrap naaaaaa muy de buenas. Como se Salvan al minuto 89 De  Neymar  :D,NEU
"Puede que  Messi  haya dado mucho al Barça, pero ahora es cuando más lo necesitamos, decepcionado...",N
"Curioso,todos los  jugadores del Barça  se inclinan ante el  rey ...(así facilita q les pongan las medallas,pero no deja de ser un detalle)",P
"Me cae bien este triunfo del  Real , le tengo mas aprecio a los  merengues  que a el  barcelona .",P
"Jajajajaaj creo que hemos ganado!! Jaja ese es mi  Real Madrid ! Aunque me ha faltado mi  CR  y como no haya donde esté,   Mou  ?",P
"Ojalá pronto le hagan entender a  Neymar  que los  partidos  se ganan con goles, lamentable lo del brasileño. ?",N
@Soyunsol_25 hala  madrid  y viva la comunidad de madrid jajj !!!!!,P
¿Qué mi  Baça  se ha caido? No te preocupes la proxima vez te invitate al  partido  para que veas como se levanta .reconosco que  Bale  es grande.,P
Levanta la copa  CASILLAS  !  HALA  MADRID !,NEU
Llamenle un taxi a  Bartra  para que alcance a  Bale .,N
"Fabregas , sinceramente tu juegas porque el  Tata  te quiere, por mi no juegas.",N
"Se la ha puesto  Pinto , porque yo no quería, que si no ganábamos.",N
"Le podria parir un hijo a  Bale , ya mismo",P
Que grande eres  @realmadrid  !! ?????????,P
Nomás no le presten la Copa a  Sergio Ramos  no se le vaya a caer otra vez jajajja,N
Catalanes  llorando por no ganar la  copa de España  y luego no se sienten españoles #VivaEspaña  #HalaMadrid,N
¿Como así que  Messi  estaba jugando?,N
Ese gol de  Bale  hizo unos 10 millonsitos de lo que costó su traspaso.,P
"Te amo  Messi , sólo ha sido un mal día, sigues siendo la estrella de ese club.",P
Bartra  se va a pasar unas semanicas buscando a  Bale  MUAJAJAJAJAJA,N
Sergio Ramos  ya esta buscando el capote jajaja,NEU
"Merecidísima victoria del  Madrid .  Algunos del Barça  siguen dando pena.  Alves  con Brasil se saldrá en el Mundial, pero...  Mateu  de 10.",P
"@NODOSFC1905 @RarrochaR Es un buen técnico, por lo que demostró en Newell's. Me parece más víctima que culpable. El  Barça  venía cayéndose.",N
"La peor version del  Barza  y de  Messi  de los ultimos anos,sin  CR7   #RealMadrid  gana  copa del rey  al  #Barza  .Se le acabo el credito a  Martino",N
"?? #GusttosoTeama  Barcelona  -  Real Madrid , en directo: La ausencia de  Cristiano  es el ún... http://t.co/QmyYnPxJSw #GusttosoTeama ??",NEU
La cara que se les ha quedado  a los del Barça  es muy top.????,N
CAMPEOORES con  Cristiano Ronaldo  viendo desde las gradas.  Gareth Bale  CAMEPON,NEU
A la copa es la única que no le gusta que gane el  #Madrid  por que  #Ramos  la deja caer jajaja ?,NEU
El orgullo de ser  Madridista .,NEU
"Felicidades al  tata martino ,nos cago la temporada en 3  partidos  e.e",N
"No se pongan tristes  cules ,  copa del Rey  no, pero ahí está la  Champions  y la  Liga . Esperen......",NEU
@alcgomez no será que  Bale  no piensa en el mundial? xD #broma,NEU
"Eviten darle la copa a  @SergioRamos  jajaja enhorabuena crack, sólo no la tires este año!",P
""" Ancelotti  un mensaje:  Casillas , 1 gol encajado en toda la Copa. Titulo conseguido(;""",NEU
"Mejor que Cataluña se independice, sólo así el  Barça  podrá tener opciones de ganar algo.",N
"@OtroCule: Los  madridistas  celebran como si no hubiesen ganado ningún título en casi 2 años... oh, esperen.",N
El  barça  tiene medalla eh #Respect,NEU
#FinalCopa  hablemos ahora de igualdad dos mujeres y todo hombres en el palco y a  Wert  nadie le da la mano,NEU
Aqui es para burlarse del  barcelona ? http://t.co/gJ7gWC32HF,NEU
El  madri  no os va a dar de comer  madridistas .,NEU
"Se debe ir el  Tata  hizo lo que pudo,  Neymar  le queda grande la azulgrana, faltan 2 defensas y un portero.",P
Yo lo de  Bale  también lo meto ajajja,P
@lurdesitahp Campeones y sin  Cristianoooo   #HalaMadrid,NEU
"EL  MADRID , campeón de una   #CopaRelRey  apasionante.",NEU
Sale a calentar  Leo Messi  tras el gol de  Gareth Bale .,NEU
Si ya lo estaba diciendo  Salinas ..  Alves  es un coladero y como ni defiende ni ataca porque no da un pade bueno .. pues ahi esta el resultado,NEU
Hace mucho tiempo que no gritaba un gol como hoy el de  Bale   #HalaMadrid,P
Puto engines que tiene  Bale  en las puta piernas,P
Me acaban de llamar diciendo que el  Barça  ha perdido y yo con cara de me la suda vale???,NEU
El  Barcelona  y yo tenemos algo en común. A ambos nos gusta que nos den unas buenas cogidas.,NEU
"No se cómo llamáis al esquema del  Tata , el rombo o alguna mierda así. El caso es que el mayor fallo que le veo es este:",N
Eres guapo pero con traje mas!  @12MarceloV,P
"El Madrid gana sin  CR7 , el mejor jugador del mundo. #OjoAlDato",P
"Hermoso es ver al  Madrid  ser Campeon, mi unico amor el  Madrid !! hala  Madrid !! http://t.co/xq26laAKFA",P
Un  #Barcelona  desconocido: sólo al pelotazo. Un  #RealMadrid  q supo controlar a  Messi  y un  Bale  que… wow como corrió pa el 2do gol. Increíble,N
Enhorabuena  madridistas !!! Disfrutadlo y ojala nos veamos en Lisboa...!,P
""" Carvajal : """"Nos da una inyección de moral está victoria en  Copa  para lo que resta de temporada"""".""",NEU
Felicidades al  @realmadrid  digno campeón de la  Copa Del Rey . De un  culé  de corazón? para un gran equipo(:,P
Los  catalanes  a jugar la copa de la independencia   #FinalCopaRelRey,N
Iiiiii donde estaaaaan iiii donde estan los  culésitos  q nos iban a ganar ?  Iiii donde estan y dónde estánn  MESSI  Y  NEYMAR  ????? AAAAAAJAJAJ,N
Deseando escuchar las declaraciones de  xavi,NEU
Así se os queda la carita  cuales   #HalaMadrid  http://t.co/7VX43karSj,NEU
Y  Bale  se iba a retirar de futbol por su lesion de espalda.,NEU
"Mucho  Barcelona  y  Real Madrid , y al final ninguno se va a llevar la  Champions , pobres diablos.",N
Ganamos sin  Ronaldo  y que paso ?,NEU
Bale  hizo valer la cantidad de dinero que gastó el  Real Madrid  tras ese golazo,P
Ahora no vale lo de y si hubiera entrado el palo de  Neymar . Lo q toca es terminar la temporada lo más dignamente posible y reestructurar,NEU
Partidazo del  Real Madrid  !!! Ahora a celebrarlo en la cibeles,P
@FCBarcelona_es   fichad un buen portero,NEU
Queda claro y confirmado que  Neymar  es un producto de la mercadotecnia,N
"Ya me amargue la tarde con los centros de  Alves , ojala y en la noche no me amargue viendo los centros de  Deris Umanzor",NEU
No le den la Copa a  @SergioRamos,N
"Que puto asco dios!El  Barça  va a seguir siendo el mejor chiquis.Vamos  Madrid , tirar otra vez la copa! jajaja http://t.co/vcbVEkQawb",N
Messi  hoy solo ha corrido 1km mas que Cristiano,N
"Al menos el  Barça  se queda en el campo cuando pierde, no como otros hicieron",P
Estoy feliz porque sea lo que sea el mejor siempre sera el  BARCELONA  tranquilossss.,P
[ESPAÑA] El  Real Madrid  es el campeón de la  Copa del Rey,NEU
"Hala  Madrid  !! tirititititi , Hala  Madrid  !! Tirititititi. Final de compa del Rey es nuestraaa !!! ?????",P
Bartra  es muy muy muy bueno un grande el hombre mas peligroso del @FCBarcelona_es. pero no puede con  @GarethBale11,N
Que GRANDE es nuestra afición!Como no te vamos a querer  Real Madrid !,P
"Siempre respetaré a un rival como el  Barcelona , pero papá es papá.  #halamadrid  #Campeones",NEU
lo bueno de que el madrid gane la copa es que siempre se le podra caer a  Ramos,NEU
Que asquerosos  los del Barcelona  que se quitan la medalla.,N
Pinto  corrió más que  Messi . Hoy si lo ha conseguido!! Enhorabuena  Pinto !!,NEU
Se extrañó demás a  @Cristiano  por la banda izquierda,NEU
Sin problemas con  Messi :  Tévez : Ciudad de México.- El delantero  Carlos Tevez  negó tener problemas con su compa... http://t.co/ypEiZFXbJw,NEU
"Muy de coña decir ahora que los 100 millones de  Bale  están bien invertidos, de coña decirlo basándose en el trabajo de un sólo  partido",N
"@SergioRamos  Cuidado con tirar la Copa... Bueno, puedes, que en lo que sale corriendo  Bale , la coge antes de que toque el suelo.",NEU
Hoy fue más de  Gareth  que de  Neymar .,P
"Un  partidazo , nos ha salido incluso barato  @GarethBale11",P
Bonito detallé el de  Messi  debido a la baja de  Cristiano !!! Buena final sin los dos mejores jugadores del mundo,N
Real madrid  campeon de la  copa del rey  ke sorpresa  era del  barslona  pero bueno  real madrid  la gano ke mal,NEU
“@FifaDatos:  Real Madrid  gana la  Copa del Rey 2014   #HalaMadrid  http://t.co/bAilZj1Rme”,NEU
"Y como siempre, en la derrota te apoyo más. ¡Vamos,  @FCBarcelona !",P
Cosas q m dan satisfacción y ver la cara de  #Messi  de PERDEDOR!! ???,N
Os ha callado la puta boca el señor  @GarethBale11  : @marca @diarioas @mundodeportivo @sport,NEU
"Vamoooos  #HALAMADRID  gran trabajo de  Casillas ,  Bale ,  Di María  #grandeRMFC",P
"Gracias por tantos años de victorias  Barça ! Por siempre Visca el #Barça! Ahora, a renovarse!",P
"""Te amo bebe gracias por dedicarme el gol  @GarethBale11  <3""",P
"Enhorabuena  Madridistas !! Merecida de principio a fin :)  Pdt:  Pinto ,Jubilate.",P
"Alves  es una vergüenza, que coja al Patata  Martino  este y se vayan a tomar por culo los dos",N
Ver el careto de  los del Barça  no tiene precio!!!!!!!!!!,N
El corage que me da esque cuando el  barça  estaba haciendo un  partidazo  marcan los otros y luego el palo de  Neymar ... pinto  paqueton.,P
Por algo siempre desde la cuna eh sido y sere #HalaMadridHastaElMorir onde quedo su  messi  jajaja se fue a messingar su mae jaja #Mestalla,N
@tuiteroIoco: Mientas tanto los  hinchas del Barcelona  http://t.co/bBesweNauc,NEU
Puyol  es la única persona respetable de entre todo individuo que forma el  Barça . Y punto.,P
El  #rey  preguntando pero no hay elefantes? #futboltotaldirectv #futbol   #FinalCopaRelRey,N
"Ostras el  Barça  se queda a ver como le dan la copa al rival, no como otros equipos o.o. Aparte de ganar también hay que saber perder.",P
Los  Barcelonistas  miran a los CAMPEONES( REAL MADRID ),NEU
La cara de malafolla de  messi  es la mejor jajajajaja,N
Siiiiiiiiiiiii!!!!!!!!!!! Grande el fideo!!!!! Y como no: « El expreso de Cardiff  » ????  FinalCopaDelRey   #HalaMadrid,P
@CentralFOX_nor  @realmadrid  bno fue  bun partido  para el  #RealMadrid  y malo para el  #FCBarcelona,P
"""Dice el Rey al  Barça  """"Me llena de orgullo y satisfacción entregaros la medalla de subcampeón"""" Es que...es un poeta""",NEU
"Messi  guapo, que hoy lo has dado todo eh ???",P
Sin problemas con  Messi :  Tévez : Ciudad de México.- El delantero  Carlos Tevez  negó tener problemas con su compa... http://t.co/2sMNH44KzE,NEU
Pinto  si de verdad eres del  Barca  prendete fuego.,N
"Venga, ahora decid que: Árbitro vendido Partido robado  O lo que quieran, a los  madridistas  nos importa una mierda #Madridista  #HalaMadrid",NEU
No gano el  BARÇA  pero hoy gana  Atletico Nacional ?,NEU
“@Rosbasa: @Felicidades @mariajoserg59  el  #RealMadrid  Campeón de la  Copa del Rey 2014  ? ??” Felicidades.,NEU
Hoy fijo que los  Madridistas  de aqui de Almería se van a ir a celebrarlo a Cibeles JAJAJA ? ? calidá.,NEU
"Y ahora a celebrar la  Copa del Rey  como si fuera la  Champions , eso es lo bueno de ser  madridista . HALA MADRID PUAJAJAJAJAJAJAJAJA #Asco",P
"Por favor que alguien le quite la gorra a  Cristiano . Gorra y corbata, como  #Casillas  y  #Mourinho , ni con cola.",N
La cara de  messi  es un cuadro JAJJA,N
Oleeeeeeee oleeeeeee oleeeeeee oleeeeee CAMPEONES de la  COPA DEL REY .... Hala  Madrid ... Hey y sin  Cristiano !,P
Grande  Ronaldo  y  casillas ... Primero le dieron la mano a los del otro equipo antes de ir a celebrar,P
#FCBarcelona  solo debe de Cambiar de DT,NEU
Perder la  copa del rey  deja muchas conjeturas!!!! Donde esta  messi ? Donde esta  iniesta ? Donde esta  xavi ? Donde esta  neymar ?,N
"Bueno, a ver si  sergio ramos .no levanta la copa",NEU
JAJAJAJAJAJA ¿ Messi  si jugo? O.O,N
"Neymar  jugo excelente, merecía hacer ese gol:s",P
Nose que celebrais tanto los  madrilistas  que para una vez que ganais al  barça  no es para tanto. No flipping tanto. xD,N
"""Las cosas que le dijeron al  """"Flaco"""" Menotti  cuando criticó el rendimiento del  Barca  y de  Messi . Solo anticipó esta realidad.""",NEU
Que si ostia que soy del  Barça  pero el  Madrid  merecia mas!,NEU
Una victoria muy merecida para el  Real Madrid  ???,P
!Orgulloo blanco por encima de todo! Grandee mi  madrid  #l4l #instalike  #HalaMadrid  #Campeones http://t.co/8mN7P1lgvw,P
Muy orgullosa de ser del  barça  y. VISCA EL  BARÇA  y  los del madrid  ojito con  ramos  no perdais la copa por el camino eh JAJAJA,P
Messi  sonríe un poco hijo xd,NEU
El rey Juan Carlos  a recorrido mas distancia que  Messi  en las ultimas semanas. ¡ Hala Madrid !   #FinalCopaRelRey,P
"Y los que dicen que irle al  Barcelona  no es moda, preguntenle a cualquier mujer a que equipo le va y ahi tendrán su respuesta jajaja",NEU
hay q decirlo tambien... PINTO  ES MUY MALO ESE HIJUEPUTA...pobre  barcelona  con un arquero como ese de tituar.. nunk quisieron tener uno mejor,N
Eso es señores ... la copa se queda en España !!!! HALA  MADRID  ...,P
Enoranbuena a los  madridistas,P
El mejor equipo del mundooo. No hay otro iguaal  @realmadrid  Hala  Madrid !!!,P
"Ramos  necesita un capote, que mejor que sea el del gran @tonintorero",NEU
"Es q el  Madrid  es historia, leyenda, pasión y amor.....los otros, los otros son una moda barata.  #HalaMadrid",P
"Aún asi, con  messi  y  cristiano  hubiera estao mas guapo",P
"Y al final han ganado, sabia que podrian, los mejores(:  #DiMaria   #Bale    #Casillas   #Merengues   #HalaMadrid    #FinalCopa",NEU
real madrid  campeon otra vez mas  es el mejor del mundo haala  madrid,P
Felicidades al  madridismo  por la copa desde el lado  cule,P
Los del canal 2 deben de estar ardidos porque perdió el  Barcelona  Jajaja,NEU
"Levante , este finde a cerrar la permanencia y algún milagro de Alonso y ya semana perfecta :))",NEU
"@MarcBartra91  has sigut el millor del partit! Segueix així nanu, ets gran!",P
Me regocijo viendo la cara de  Messi  y  Neymar .,N
"Laporta ,  Guardiola  y  Puyol . Antes eran buenos tiempos",P
Asin se gana al futbol limpio sin penaltis sin teatro solo con clase k es la k tiene mi  Madrid  Hala  madriddddd  mas k nunca,P
"Que pasa,que  Cristiano  es el unic juaor que pot fer que guanye el  madrid ?!?!?! Crec que no es el unic que sap juar.Pense yo.",NEU
Ser  culé  significa estar ahí si el Barça pierde o gana y yo con mucho orgullo digo que soy  Culé  hasta y después de la muerte #VizcaBarça,NEU
Uf sobre todo  Cristiano Ronaldo .,P
Tio por siempre y para siempre HALA  MADRID,P
El  @MachoRamirezDT  debería ser el técnico del  Barcelona .,NEU
"""Eres más malo que  Pinto  o """"Eres peor que los centros de  Alves """" como insultos.""",N
Lo que más claro deja esta final es que  Mateu Lahoz  es el mejor arbitro español   #FinalCopa,P
Vamossss  Ramos  con el capote! Ahi te quiero ver!!!!   #HalaMadrid,P
Foto  | ¿Hubo fuera de juego de  Di María  en el gol del  Real Madrid ?: El extremo argentino  Ángel Di María  ha sid... http://t.co/fyAqoQsz9t,NEU
"Se oye en Mestalla,  BARÇA  CABRÓN, SAUDA AL CAMPEÓN,  BARÇA  CABRÓN, SAUDA AL CAMPEÓN,  BARÇA  CABRÓN, SAUDA AL CAMPEÓN.",N
Real Madrid  campeon de la  COPA DE REY,NEU
Visto lo visto hasta yo corro mas que  Bartra  jajaja,N
Messi  solo mira el mundial,N
"Por cierto, muy pésima la actitud de  Alves , me cae fatal ese tío.",N
Y sin  Cristiano .  Que a pasado ? Fin de ciclo  culés  dejaros de cuentos y excusas . Se acabó,NEU
Saben que es lo que mas me gusto? Que le ganamos sin  cristiano  y ustedes solo dependen de jugadores!!,NEU
"""@jmbartomeu  pinto  el mejor portero del mundo :"""")""",P
Di que u di que a se la metimos a el  Barcelona ??,NEU
"Me alegro exclusivamente por  Iker Casillas .  Ancelotti , eres tontico.",P
La humillacion de  Bale ... impresionante!!!! Le va a estar doliendo el culo a  Bartra .... jajajajaja,P
El  Barcelona  esta peor que el Titanic,N
@Alcoh0lico: Hay 3 maneras de decir  Barcelona  en chino:  -Chin  Chan Pion Li  -Chin  Li Ga  -Chin  Ko Pa,NEU
"Por ciertoo , preciosa la bandera de  Sergio Ramos  olee Andaluciaaaa !!!",NEU
"@MarcBartra91  te quiero,gracias por meterle huevos a esto. Pedazo de central tenemos.",P
Y  mascherano  y  Fabregas  solo fueron a aportar su mala suerte en  Liverpool  y  Arsenal,N
Hoy  Messi  hizo lo mismo q  cristiano  mirar el  partido,N
@AuroraHdz no contabas con  @GarethBale11,NEU
Si dejan todo el trabajo en los pies de  Messi  gente... Por eso es que le pasan estas cosas...,NEU
¡¡Somos campeones!! Felicidades a  @CasillasWorld  por su 12° final siendo ganador.  #HalaMadrid,P
"REAL MADRID , Campeón de la  copa del Rey",P
"Que carita tienen los  culés  JAJAJAJA, YA SABEMOS QUIEN MANDA AQUÍ.  #HalaMadrid  :)",N
@__JIMENEZ96: Ser  madridista  es un sentimiento que muy pocos conocemos. Debemos sentirnos privilegiados.  #HalaMadrid,P
Quizás si  Alexis  hubiese entrado antes la historia sería diferente,P
El  Real Madrid  derrotó este miércoles al  Barcelona  2-1 y se consagró campeón de la  Copa del Rey . #D10,NEU
La verdad q REALmente somos Campeones HALA  MADRID,P
"Como era logico, la  Copa del Rey  tiene que venirse con el equipo monarquico, nuestro  Real Madrid . #Campeones  #HalaMadrid",P
ganamos hp.... #HalaMdrid.... 2-0 hahahahah en tu cara  barcelona  ahhahaha el rey de reyes  REAL MADRID,N
El  partidazo  de  Isco  y  Di Maria  no fue normal!,P
Bale  ha dejado el surco del rabo en la banda,P
Por fin se hace justicia!! Ahora si que si!! La  copa del rey  se queda en España!! Grandes jugadores  @realmadrid !!  #HalaMadrid,P
Solo faltaba que  @SergioRamos  tirase la copa otra vez  jajajjajajajaj,N
A  bale  le quitan un gol y marca otro @,NEU
Algo importante de este título es el golpe anímico que obtiene el  Madrid  de cara a la llave de semis ante el Bayern.  #HalaMadrid,NEU
Eh pero que dentro de poco  Messi  pedira su mejora de contrato trimestral.,NEU
Buenoo esperemos que no se le caiga esta vez la copa a  Ramos  xD HALA MADRID!!,N
los jugadores del BARCELONA   miran como alsa la copa el CAMPEON  #REALMADRID,NEU
Menudo bajon de  Messi  de unos años para aqui,N
Un  Barcelona  que no juega a nada y un  director técnico  que es una basura bien ganado para el  Madrid,N
Como se nota que cuando el  barsa  juega kon 11 no tienen kojones de ganar 'HALA  MADRID  ',N
"El  @FCBarcelona_es  gana la  Copa  con Posesión de balón! Ahora, un whiskey y a dormir a Pelotas! #JAJAJA",NEU
Que sepa el universo como juega el  Madrid ........ HALA  MADRIDDDDDD  @HabikPaezAlvz @HannerVaAlvz @LedytaG,NEU
Alguns jugadors del FCB  són tan vagos que no els vendrem ni en un outlet #maremeva #caminant  #finalcopa,N
"En lugar de haber gastado tanto en comprar al bueno para nada de  Neymar , mejor hubieran comprado al  Bofo Bautista  por una torta y un frutsi.",N
Por días como hoy decidí hacerme  madridista   #HalaMadrid,NEU
"@Cristiano ,  Cristiano  va por ti!",NEU
Lección de compañerismo una vez más por parte de  @CasillasWorld  al compartir la victoria con  @JeseRodriguez10,P
"""Os reís del palo de  Neymar . Mas me reí yo con los de  Ozil  el año pasado ;) JAJAJAJAJAJAJAJAJAJA""",NEU
Que será de un señor llamado  Lionel Messi ....,NEU
"Recomendaciones,no dejar a  ramos  cojer la copa en el bus",N
"Ni le den la copa a  Ramos  ya sabeen , o tendran otra de plastico.   JAJAJAJA !    #barcarealtv",N
@neymarjr  pareces un fideo integral,N
"Como coja la copa  Sergio Ramos , vais listos.",N
Felicidades  Madridistas  su  equipo  si les respondió!,P
La  copa de mi rey  se keda en españaaaaaa con dos huevossss!!!! Hala  madrid !!!! :))) vamos cojones  #HalaMadrid    #FinalCopaRelRey  #campeones,P
Menudo  partido ! Han estado  todos  increíbles. Este  equipo  es un orgullo!  #HalaMadrid,P
Grande  Carvajal  que es de mi ciudad.,P
Aaaaais que pereza aguantar a los  madridistas  ahora :(,N
Ramos  con la Bandera Española y Andaluza. Puto grande,P
@iauraB con ese gol de  Bale  que se puede hacer ?,P
El  aletico  le quita la  champions  al  barça  el  granada  le quita la  liga  al  barça  y ahora el  madri  le quita la  copa del rey  al  barça  wajajajaja,P
Ramos  busca el capote! GRANDE,P
Feliz por el campeonato ganado por   @realmadrid  :)  #HALAMADRID,P
"""CAMPEONES, CAMPEONES OE OE OEEEE!! Si señor, gran  partido  y con  Casillas  en la portería.  Cules  a llorar a otro sitio ;)  #HALAMADRID """,P
"A los  madridista  felicidades pero que les den y a tpc, a por mojistos??? Guapos",N
Nunca caminaras solo esta  hinchada  siempre estara contigo  @realmadrid,NEU
Todos  ladrando de que va ganando el  real  pero cuando los empato el  barça  no decian ni madres .|.,N
La  copa  ya es del  REAL MADRID,P
Vivo enamorada de  Ramos  aunque se cargue la copa,P
Ahora es cuando coge la copa  Sergio ramos  y la tira! Jajajajajajajajaja,NEU
@jp_santillan y sin  #CR7  papá,NEU
"""Grande  Casillas  : """"Esta victoria no solo es nuestra sino también de  Jesé .""""""",P
No me escondo aqui salgo le voii al  BARÇAA  EN LA BUENAS Y EN LA MALAS ya si mente FIRME CON EL  BARÇA  SE  VENDRA TIEMPOS MEJORES,NEU
"@tere_novelera  @MesutOzil1088   @SergioRamos  todavia nos quiere,es un amor.",P
"""Si  Pinto  estuviera en CR, la afición le cantaría... """"¡Que lo vengan a veeer, que lo vengan a veeer...!""""""",N
""" Xavi : """"El juego ha estado lento porque el césped estaba alto como en el Calderón. """"""",NEU
La cara de apollardaos se les ha quedado a los  aficionandos del Barcelona  me descojono.,N
"Fuera de  Ronaldo ,  DiMaria ,  Bale  y  Casillas , no conozco a los jugadores del  Real Madrid .",NEU
Que lo aprovechen porque  es lo unico que van a ganar. El  Atletico  va a ganar la  Champions  y el  Barça  la  liga . #espero,P
"La  Copa  es  Blanca  ¡Campeones,campeones oe oe oe!  #HalaMadrid",NEU
Enhorabuena a los  merengues  menuda paliza las cosas como son... y sin  Ronaldo . ..o cambia o a tomar porculo señores. . #ventasyelecciones,P
Eh  MESSI  donde has estado jajajaja  LEO MESSING .,NEU
"Con  cristiano  o sin  cristiano , SON LOS MEJORES... ¡HALA  MADRID !",NEU
Fabregas  se quita la medalla.  #CualOrgulloCulé,NEU
Hoy ganaron los guapos ¡Hala  Madrid !,P
Llego  Neymar  al  Farça  para que perdieran todo. #éeeeeeeeexito,N
El  Barça  tiene el ejemplo de la humildad ( Puyol ) y la hipocresía ( Alves ) en un mismo vestuario. ¿Podría considerarse eso un título?,NEU
